date,rank,keyword,count
2026-08-06,1,기침 가슴통증,2
2026-08-06,2,우울증과불면증,2
2026-08-06,3,공황장애,2
2026-08-06,4,전립선암,2
2026-08-06,5,면역력 영양제,2
2026-08-06,6,유산균,2
2026-08-06,7,유산균추천,2
2026-08-06,8,감기 빨리 낫는법,1
2026-08-06,9,감기 영화,1
2026-08-06,10,감기 병원,1
2026-08-06,11,감기에 좋은 음식,1
2026-08-06,12,감기,1
2026-08-06,13,여름감기,1
2026-08-06,14,목감기,1
2026-08-06,15,감기 유행,1
2026-08-06,16,감기약,1
2026-08-06,17,열감기,1
2026-08-06,18,두통 원인,1
2026-08-06,19,두통 없애는법,1
2026-08-06,20,두통 부위,1
