date,rank,keyword,count
2026-03-02,1,기침 가슴통증,2
2026-03-02,2,우울증과불면증,2
2026-03-02,3,공황장애,2
2026-03-02,4,공황장애치료,2
2026-03-02,5,전립선암,2
2026-03-02,6,유산균,2
2026-03-02,7,유산균추천,2
2026-03-02,8,감기 빨리 낫는법,1
2026-03-02,9,감기 병원,1
2026-03-02,10,감기에 좋은 음식,1
2026-03-02,11,감기 증상,1
2026-03-02,12,감기,1
2026-03-02,13,감기 수액,1
2026-03-02,14,감기약,1
2026-03-02,15,목감기,1
2026-03-02,16,감기 영화,1
2026-03-02,17,감기 내과,1
2026-03-02,18,두통 원인,1
2026-03-02,19,두통 없애는법,1
2026-03-02,20,두통 부위,1
