date,rank,keyword,count
2026-04-06,1,기침 가슴통증,2
2026-04-06,2,우울증과불면증,2
2026-04-06,3,당뇨 식단,2
2026-04-06,4,공황장애,2
2026-04-06,5,공황장애치료,2
2026-04-06,6,전립선암,2
2026-04-06,7,면역력 영양제,2
2026-04-06,8,유산균,2
2026-04-06,9,유산균추천,2
2026-04-06,10,감기 빨리 낫는법,1
2026-04-06,11,감기에 좋은 음식,1
2026-04-06,12,감기 병원,1
2026-04-06,13,감기,1
2026-04-06,14,감기 증상,1
2026-04-06,15,감기 수액,1
2026-04-06,16,감기약 운전,1
2026-04-06,17,감기약,1
2026-04-06,18,목감기,1
2026-04-06,19,코감기약,1
2026-04-06,20,두통 원인,1
